substation,year,month,day,hour,consumption,date
LOSALME,2023,1,2,0,-5.977296,2023-01-02
LOSALME,2023,1,2,0,56.215569,2023-01-02
BUIN,2023,1,2,0,-134.881062,2023-01-02
LOSALME,2023,1,2,0,14.104368,2023-01-02
BUIN,2023,1,2,0,83.529102,2023-01-02
CHENA,2023,1,2,0,-131.25011,2023-01-02
LOSALME,2023,1,2,0,45.694715,2023-01-02
CHENA,2023,1,2,0,107.595008,2023-01-02
ELSALTO,2023,1,2,0,83.251726,2023-01-02
CHENA,2023,1,2,0,45.686392,2023-01-02
CHENA,2023,1,2,0,44.226853,2023-01-02
ELSALTO,2023,1,2,0,86.782398,2023-01-02
ELSALTO,2023,1,2,0,111.405765,2023-01-02
ELSALTO,2023,1,2,0,91.569354,2023-01-02
CNAVIA,2023,1,2,0,61.928348,2023-01-02
BUIN,2023,1,2,0,-0.113527,2023-01-02
BUIN,2023,1,2,0,50.131971,2023-01-02
CHENA,2023,1,2,0,69.087258,2023-01-02
BUIN,2023,1,2,0,-0.230716,2023-01-02
FLORIDA,2023,1,2,0,55.802319,2023-01-02
FLORIDA,2023,1,2,0,55.065102,2023-01-02
AJAHUEL,2023,1,2,0,-43.772019,2023-01-02
AJAHUEL,2023,1,2,0,87.251252,2023-01-02
AJAHUEL,2023,1,2,0,92.067204,2023-01-02
CNAVIA,2023,1,2,0,-24.438981,2023-01-02
CNAVIA,2023,1,2,0,54.056928,2023-01-02
CNAVIA,2023,1,2,0,38.91107,2023-01-02
CNAVIA,2023,1,2,0,52.182226,2023-01-02
CNAVIA,2023,1,2,0,92.209468,2023-01-02
AJAHUEL,2023,1,2,0,-43.44007,2023-01-02
CNAVIA,2023,1,2,0,-105.564457,2023-01-02
CNAVIA,2023,1,2,0,-98.739123,2023-01-02
FLORIDA,2023,1,2,0,-3.342306,2023-01-02
FLORIDA,2023,1,2,0,-13.513991,2023-01-02
FLORIDA,2023,1,2,0,-31.614109,2023-01-02
FLORIDA,2023,1,2,0,-18.933042,2023-01-02
FLORIDA,2023,1,2,0,-23.7386,2023-01-02
FLORIDA,2023,1,2,0,-20.076618,2023-01-02
CNAVIA,2023,1,2,0,85.413967,2023-01-02
LOSALME,2023,1,2,1,49.235583,2023-01-02
LOSALME,2023,1,2,1,40.478366,2023-01-02
BUIN,2023,1,2,1,45.758001,2023-01-02
BUIN,2023,1,2,1,77.354493,2023-01-02
BUIN,2023,1,2,1,-124.373652,2023-01-02
LOSALME,2023,1,2,1,-5.305525,2023-01-02
LOSALME,2023,1,2,1,13.569224,2023-01-02
CHENA,2023,1,2,1,-119.503597,2023-01-02
ELSALTO,2023,1,2,1,81.636729,2023-01-02
CHENA,2023,1,2,1,62.271229,2023-01-02
CHENA,2023,1,2,1,40.554747,2023-01-02
CHENA,2023,1,2,1,42.346727,2023-01-02
ELSALTO,2023,1,2,1,78.06884,2023-01-02
