substation,year,month,day,hour,consumption
AJAHUEL,2022,3,1,0,78.853504
AJAHUEL,2022,3,1,0,82.925956
AJAHUEL,2022,3,1,0,-8.863712
AJAHUEL,2022,3,1,1,-8.85804
AJAHUEL,2022,3,1,1,66.868541
AJAHUEL,2022,3,1,1,71.368974
AJAHUEL,2022,3,1,1,-8.450959
AJAHUEL,2022,3,1,2,-8.851014
AJAHUEL,2022,3,1,2,58.309278
AJAHUEL,2022,3,1,2,61.079137
AJAHUEL,2022,3,1,2,-8.438332
AJAHUEL,2022,3,1,3,-9.390843
AJAHUEL,2022,3,1,3,-9.802141
AJAHUEL,2022,3,1,3,54.140814
AJAHUEL,2022,3,1,3,56.462234
AJAHUEL,2022,3,1,4,-9.714688
AJAHUEL,2022,3,1,4,-10.116942
AJAHUEL,2022,3,1,4,51.313895
AJAHUEL,2022,3,1,4,52.227218
AJAHUEL,2022,3,1,5,-10.041121
AJAHUEL,2022,3,1,5,-10.400492
AJAHUEL,2022,3,1,5,51.836311
AJAHUEL,2022,3,1,5,52.567898
AJAHUEL,2022,3,1,6,-10.044362
AJAHUEL,2022,3,1,6,-10.406321
AJAHUEL,2022,3,1,6,54.806587
AJAHUEL,2022,3,1,6,56.000521
AJAHUEL,2022,3,1,7,-10.019423
AJAHUEL,2022,3,1,7,-10.404988
AJAHUEL,2022,3,1,7,62.413174
AJAHUEL,2022,3,1,7,62.646954
AJAHUEL,2022,3,1,8,-10.059506
AJAHUEL,2022,3,1,8,-10.405787
AJAHUEL,2022,3,1,8,69.984696
AJAHUEL,2022,3,1,8,69.729881
AJAHUEL,2022,3,1,9,-10.044761
AJAHUEL,2022,3,1,9,-10.413353
AJAHUEL,2022,3,1,9,75.489712
AJAHUEL,2022,3,1,9,76.920759
AJAHUEL,2022,3,1,10,-10.067227
AJAHUEL,2022,3,1,10,-10.420601
AJAHUEL,2022,3,1,10,82.18846
AJAHUEL,2022,3,1,10,85.767371
AJAHUEL,2022,3,1,11,-9.131266
AJAHUEL,2022,3,1,11,-9.506592
AJAHUEL,2022,3,1,11,86.428682
AJAHUEL,2022,3,1,11,90.49958
AJAHUEL,2022,3,1,12,-9.437727
AJAHUEL,2022,3,1,12,90.519994
AJAHUEL,2022,3,1,12,94.767012
AJAHUEL,2022,3,1,12,-9.078954
AJAHUEL,2022,3,1,13,-8.383026
AJAHUEL,2022,3,1,13,-8.750888
AJAHUEL,2022,3,1,13,95.343695
AJAHUEL,2022,3,1,13,100.292622
AJAHUEL,2022,3,1,14,-7.8903
AJAHUEL,2022,3,1,14,100.927692
AJAHUEL,2022,3,1,14,105.20845
AJAHUEL,2022,3,1,14,-7.502808
AJAHUEL,2022,3,1,15,-7.500606
AJAHUEL,2022,3,1,15,-7.901936
AJAHUEL,2022,3,1,15,99.585518
AJAHUEL,2022,3,1,15,104.427926
AJAHUEL,2022,3,1,16,-7.48954
AJAHUEL,2022,3,1,16,-7.880414
AJAHUEL,2022,3,1,16,100.954707
AJAHUEL,2022,3,1,16,106.123157
AJAHUEL,2022,3,1,17,-7.483516
AJAHUEL,2022,3,1,17,-7.883012
AJAHUEL,2022,3,1,17,99.361224
AJAHUEL,2022,3,1,17,104.374341
AJAHUEL,2022,3,1,18,-7.484874
AJAHUEL,2022,3,1,18,-7.876877
AJAHUEL,2022,3,1,18,92.875105
AJAHUEL,2022,3,1,18,96.223935
AJAHUEL,2022,3,1,19,-7.479063
AJAHUEL,2022,3,1,19,-7.876441
AJAHUEL,2022,3,1,19,95.758373
AJAHUEL,2022,3,1,19,96.798836
AJAHUEL,2022,3,1,20,-7.478015
AJAHUEL,2022,3,1,20,-7.873183
AJAHUEL,2022,3,1,20,91.733624
AJAHUEL,2022,3,1,20,93.398428
AJAHUEL,2022,3,1,21,-7.469935
AJAHUEL,2022,3,1,21,-7.87139
AJAHUEL,2022,3,1,21,99.875593
AJAHUEL,2022,3,1,21,102.088943
AJAHUEL,2022,3,1,22,-9.351828
AJAHUEL,2022,3,1,22,-9.757221
AJAHUEL,2022,3,1,22,99.773739
AJAHUEL,2022,3,1,22,102.521446
AJAHUEL,2022,3,1,23,-19.650622
AJAHUEL,2022,3,1,23,94.243086
AJAHUEL,2022,3,1,23,97.971451
AJAHUEL,2022,3,1,23,-19.27105
AJAHUEL,2022,3,2,0,-22.876194
AJAHUEL,2022,3,2,0,83.504464
AJAHUEL,2022,3,2,0,88.208294
AJAHUEL,2022,3,2,0,-22.498134
AJAHUEL,2022,3,2,1,-22.823397
AJAHUEL,2022,3,2,1,-23.197043
AJAHUEL,2022,3,2,1,71.454747
AJAHUEL,2022,3,2,1,76.391953
AJAHUEL,2022,3,2,2,-14.169993
AJAHUEL,2022,3,2,2,-14.553906
AJAHUEL,2022,3,2,2,59.62461
AJAHUEL,2022,3,2,2,63.272222
AJAHUEL,2022,3,2,3,-13.378931
AJAHUEL,2022,3,2,3,-13.795214
AJAHUEL,2022,3,2,3,54.880593
AJAHUEL,2022,3,2,3,57.234867
AJAHUEL,2022,3,2,4,-13.373933
AJAHUEL,2022,3,2,4,-13.793631
AJAHUEL,2022,3,2,4,51.595957
AJAHUEL,2022,3,2,4,53.788642
AJAHUEL,2022,3,2,5,-12.995395
AJAHUEL,2022,3,2,5,-13.392589
AJAHUEL,2022,3,2,5,50.522698
AJAHUEL,2022,3,2,5,50.848752
AJAHUEL,2022,3,2,6,-12.044343
AJAHUEL,2022,3,2,6,-12.444141
AJAHUEL,2022,3,2,6,54.040788
AJAHUEL,2022,3,2,6,51.907654
AJAHUEL,2022,3,2,7,-10.786121
AJAHUEL,2022,3,2,7,-11.163431
AJAHUEL,2022,3,2,7,64.527912
AJAHUEL,2022,3,2,7,60.997808
AJAHUEL,2022,3,2,8,-10.033863
AJAHUEL,2022,3,2,8,-10.389663
AJAHUEL,2022,3,2,8,73.603601
AJAHUEL,2022,3,2,8,69.856633
AJAHUEL,2022,3,2,9,-10.0356
AJAHUEL,2022,3,2,9,-10.404915
AJAHUEL,2022,3,2,9,75.049676
AJAHUEL,2022,3,2,9,72.825737
AJAHUEL,2022,3,2,10,-11.219885
AJAHUEL,2022,3,2,10,-11.597853
AJAHUEL,2022,3,2,10,83.946292
AJAHUEL,2022,3,2,10,83.472126
AJAHUEL,2022,3,2,11,-9.055951
AJAHUEL,2022,3,2,11,90.636062
AJAHUEL,2022,3,2,11,90.485063
AJAHUEL,2022,3,2,11,-8.683429
AJAHUEL,2022,3,2,12,-8.480723
AJAHUEL,2022,3,2,12,95.961754
AJAHUEL,2022,3,2,12,95.790684
AJAHUEL,2022,3,2,12,-8.085209
AJAHUEL,2022,3,2,13,-8.085531
AJAHUEL,2022,3,2,13,-8.474967
AJAHUEL,2022,3,2,13,100.156933
AJAHUEL,2022,3,2,13,99.500046
AJAHUEL,2022,3,2,14,-8.074163
AJAHUEL,2022,3,2,14,-8.460991
AJAHUEL,2022,3,2,14,104.799405
AJAHUEL,2022,3,2,14,103.578595
AJAHUEL,2022,3,2,15,-7.88889
AJAHUEL,2022,3,2,15,-8.264021
AJAHUEL,2022,3,2,15,105.665205
AJAHUEL,2022,3,2,15,104.198523
AJAHUEL,2022,3,2,16,-7.483475
AJAHUEL,2022,3,2,16,-7.862936
AJAHUEL,2022,3,2,16,107.170052
AJAHUEL,2022,3,2,16,105.723111
AJAHUEL,2022,3,2,17,-7.463838
AJAHUEL,2022,3,2,17,-7.873223
AJAHUEL,2022,3,2,17,102.993847
AJAHUEL,2022,3,2,17,104.270403
AJAHUEL,2022,3,2,18,-7.461875
