substation,year,month,day,hour,consumption
BUIN,2022,3,1,0,-168.352138
BUIN,2022,3,1,0,93.961443
BUIN,2022,3,1,0,73.264123
BUIN,2022,3,1,0,-0.113527
BUIN,2022,3,1,0,-0.230716
BUIN,2022,3,1,1,69.473049
BUIN,2022,3,1,1,-157.592858
BUIN,2022,3,1,1,86.937345
BUIN,2022,3,1,1,-0.113527
BUIN,2022,3,1,1,-0.230716
BUIN,2022,3,1,2,62.238401
BUIN,2022,3,1,2,-139.924458
BUIN,2022,3,1,2,76.473742
BUIN,2022,3,1,2,-0.230716
BUIN,2022,3,1,2,-0.113527
BUIN,2022,3,1,3,57.815026
BUIN,2022,3,1,3,70.753635
BUIN,2022,3,1,3,-129.805814
BUIN,2022,3,1,3,-0.230716
BUIN,2022,3,1,3,-0.113527
BUIN,2022,3,1,4,56.614258
BUIN,2022,3,1,4,69.004357
BUIN,2022,3,1,4,-126.878686
BUIN,2022,3,1,4,-0.230716
BUIN,2022,3,1,4,-0.113527
BUIN,2022,3,1,5,56.691766
BUIN,2022,3,1,5,-126.469337
BUIN,2022,3,1,5,68.529513
BUIN,2022,3,1,5,-0.230716
BUIN,2022,3,1,5,-0.113527
BUIN,2022,3,1,6,-0.113527
BUIN,2022,3,1,6,-129.60114
BUIN,2022,3,1,6,58.164185
BUIN,2022,3,1,6,70.195977
BUIN,2022,3,1,6,-0.230716
BUIN,2022,3,1,7,-140.373602
BUIN,2022,3,1,7,75.88607
BUIN,2022,3,1,7,-0.113527
BUIN,2022,3,1,7,63.28604
BUIN,2022,3,1,7,-0.230716
BUIN,2022,3,1,8,73.260053
BUIN,2022,3,1,8,-160.668752
BUIN,2022,3,1,8,86.514357
BUIN,2022,3,1,8,-0.230716
BUIN,2022,3,1,8,-0.113527
BUIN,2022,3,1,9,79.63502
BUIN,2022,3,1,9,94.252757
BUIN,2022,3,1,9,-174.578308
BUIN,2022,3,1,9,-0.230716
BUIN,2022,3,1,9,-0.113527
BUIN,2022,3,1,10,82.697339
BUIN,2022,3,1,10,97.487767
BUIN,2022,3,1,10,-180.884962
BUIN,2022,3,1,10,-0.230716
BUIN,2022,3,1,10,-0.113527
BUIN,2022,3,1,11,84.135707
BUIN,2022,3,1,11,-183.88688
BUIN,2022,3,1,11,99.047263
BUIN,2022,3,1,11,-0.230716
BUIN,2022,3,1,11,-0.113527
BUIN,2022,3,1,12,-0.113527
BUIN,2022,3,1,12,-190.259454
BUIN,2022,3,1,12,87.353367
BUIN,2022,3,1,12,102.19767
BUIN,2022,3,1,12,-0.230716
BUIN,2022,3,1,13,-194.944096
BUIN,2022,3,1,13,104.906077
BUIN,2022,3,1,13,-0.113527
BUIN,2022,3,1,13,89.342883
BUIN,2022,3,1,13,-0.230716
BUIN,2022,3,1,14,-202.709677
BUIN,2022,3,1,14,109.274763
BUIN,2022,3,1,14,-0.113527
BUIN,2022,3,1,14,92.743359
BUIN,2022,3,1,14,-0.230716
BUIN,2022,3,1,15,94.285993
BUIN,2022,3,1,15,111.844626
BUIN,2022,3,1,15,-206.814639
BUIN,2022,3,1,15,-0.230716
BUIN,2022,3,1,15,-0.113527
BUIN,2022,3,1,16,97.049805
BUIN,2022,3,1,16,115.789348
BUIN,2022,3,1,16,-213.510867
BUIN,2022,3,1,16,-0.230716
BUIN,2022,3,1,16,-0.113527
BUIN,2022,3,1,17,97.009016
BUIN,2022,3,1,17,-213.49044
BUIN,2022,3,1,17,115.804616
BUIN,2022,3,1,17,-0.230716
BUIN,2022,3,1,17,-0.113527
BUIN,2022,3,1,18,91.512803
BUIN,2022,3,1,18,-202.569382
BUIN,2022,3,1,18,110.356368
BUIN,2022,3,1,18,-0.230716
BUIN,2022,3,1,18,-0.113527
BUIN,2022,3,1,19,87.593284
BUIN,2022,3,1,19,106.344694
BUIN,2022,3,1,19,-194.652396
BUIN,2022,3,1,19,-0.230716
BUIN,2022,3,1,19,-0.113527
BUIN,2022,3,1,20,84.867717
BUIN,2022,3,1,20,-189.891122
BUIN,2022,3,1,20,104.104209
BUIN,2022,3,1,20,-0.113527
BUIN,2022,3,1,20,-0.230716
BUIN,2022,3,1,21,93.03988
BUIN,2022,3,1,21,114.56013
BUIN,2022,3,1,21,-208.27568
BUIN,2022,3,1,21,-0.230716
BUIN,2022,3,1,21,-0.113527
BUIN,2022,3,1,22,91.59168
BUIN,2022,3,1,22,115.043796
BUIN,2022,3,1,22,-207.325715
BUIN,2022,3,1,22,-0.230716
BUIN,2022,3,1,22,-0.113527
BUIN,2022,3,1,23,-194.065909
BUIN,2022,3,1,23,107.602244
BUIN,2022,3,1,23,85.762621
BUIN,2022,3,1,23,-0.113527
BUIN,2022,3,1,23,-0.230716
BUIN,2022,3,2,0,-178.809085
BUIN,2022,3,2,0,98.746185
BUIN,2022,3,2,0,-0.113527
BUIN,2022,3,2,0,79.350966
BUIN,2022,3,2,0,-0.230716
BUIN,2022,3,2,1,71.201689
BUIN,2022,3,2,1,87.784071
BUIN,2022,3,2,1,-159.708451
BUIN,2022,3,2,1,-0.230716
BUIN,2022,3,2,1,-0.113527
BUIN,2022,3,2,2,64.9638
BUIN,2022,3,2,2,79.111705
BUIN,2022,3,2,2,-144.788383
BUIN,2022,3,2,2,-0.230716
BUIN,2022,3,2,2,-0.113527
BUIN,2022,3,2,3,61.145741
BUIN,2022,3,2,3,73.433298
BUIN,2022,3,2,3,-135.50162
BUIN,2022,3,2,3,-0.230716
BUIN,2022,3,2,3,-0.113527
BUIN,2022,3,2,4,57.603011
BUIN,2022,3,2,4,-129.774157
BUIN,2022,3,2,4,70.91132
BUIN,2022,3,2,4,-0.230716
BUIN,2022,3,2,4,-0.113527
