substation,year,month,day,hour,consumption
CHENA,2022,3,1,0,104.412229
CHENA,2022,3,1,0,66.881229
CHENA,2022,3,1,0,137.871145
CHENA,2022,3,1,0,100.236201
CHENA,2022,3,1,0,-202.872966
CHENA,2022,3,1,1,-182.602466
CHENA,2022,3,1,1,86.867006
CHENA,2022,3,1,1,93.400284
CHENA,2022,3,1,1,135.335534
CHENA,2022,3,1,1,53.843757
CHENA,2022,3,1,2,74.35595
CHENA,2022,3,1,2,84.948202
CHENA,2022,3,1,2,124.171479
CHENA,2022,3,1,2,45.62395
CHENA,2022,3,1,2,-162.688771
CHENA,2022,3,1,3,-152.181383
CHENA,2022,3,1,3,40.229951
CHENA,2022,3,1,3,82.686534
CHENA,2022,3,1,3,118.901062
CHENA,2022,3,1,3,66.384451
CHENA,2022,3,1,4,-145.73466
CHENA,2022,3,1,4,36.199951
CHENA,2022,3,1,4,82.451868
CHENA,2022,3,1,4,113.631312
CHENA,2022,3,1,4,62.268813
CHENA,2022,3,1,5,60.530841
CHENA,2022,3,1,5,82.31259
CHENA,2022,3,1,5,110.461756
CHENA,2022,3,1,5,36.199951
CHENA,2022,3,1,5,-143.960438
CHENA,2022,3,1,6,-146.990355
CHENA,2022,3,1,6,65.692729
CHENA,2022,3,1,6,81.113118
CHENA,2022,3,1,6,108.625062
CHENA,2022,3,1,6,41.369784
CHENA,2022,3,1,7,-159.034938
CHENA,2022,3,1,7,74.886673
CHENA,2022,3,1,7,82.997951
CHENA,2022,3,1,7,111.700312
CHENA,2022,3,1,7,51.081145
CHENA,2022,3,1,8,-174.188688
CHENA,2022,3,1,8,57.766923
CHENA,2022,3,1,8,89.366951
CHENA,2022,3,1,8,120.250007
CHENA,2022,3,1,8,83.971757
CHENA,2022,3,1,9,-193.255021
CHENA,2022,3,1,9,70.370757
CHENA,2022,3,1,9,94.504812
CHENA,2022,3,1,9,125.029673
CHENA,2022,3,1,9,99.533091
CHENA,2022,3,1,10,-212.057077
CHENA,2022,3,1,10,89.472146
CHENA,2022,3,1,10,94.335562
CHENA,2022,3,1,10,122.807312
CHENA,2022,3,1,10,119.854284
CHENA,2022,3,1,11,133.29259
CHENA,2022,3,1,11,90.149701
CHENA,2022,3,1,11,120.941674
CHENA,2022,3,1,11,101.842119
CHENA,2022,3,1,11,-220.688105
CHENA,2022,3,1,12,-230.360577
CHENA,2022,3,1,12,143.08445
CHENA,2022,3,1,12,89.85159
CHENA,2022,3,1,12,122.254896
CHENA,2022,3,1,12,111.392673
CHENA,2022,3,1,13,-239.975383
CHENA,2022,3,1,13,152.326228
CHENA,2022,3,1,13,91.770924
CHENA,2022,3,1,13,122.734451
CHENA,2022,3,1,13,119.794118
CHENA,2022,3,1,14,-249.600327
CHENA,2022,3,1,14,158.281201
CHENA,2022,3,1,14,123.727257
CHENA,2022,3,1,14,126.149201
CHENA,2022,3,1,14,97.861118
CHENA,2022,3,1,15,-253.423577
CHENA,2022,3,1,15,120.758257
CHENA,2022,3,1,15,103.993895
CHENA,2022,3,1,15,131.874812
CHENA,2022,3,1,15,157.558451
CHENA,2022,3,1,16,-257.374966
CHENA,2022,3,1,16,116.810229
CHENA,2022,3,1,16,109.948368
CHENA,2022,3,1,16,139.350368
CHENA,2022,3,1,16,155.691563
CHENA,2022,3,1,17,-257.035049
CHENA,2022,3,1,17,113.52248
CHENA,2022,3,1,17,113.595924
CHENA,2022,3,1,17,141.017618
CHENA,2022,3,1,17,152.99256
CHENA,2022,3,1,18,-245.854137
CHENA,2022,3,1,18,102.416998
CHENA,2022,3,1,18,114.540454
CHENA,2022,3,1,18,137.888351
CHENA,2022,3,1,18,141.007924
CHENA,2022,3,1,19,-235.144735
CHENA,2022,3,1,19,100.103797
CHENA,2022,3,1,19,107.509765
CHENA,2022,3,1,19,130.839653
CHENA,2022,3,1,19,136.138018
CHENA,2022,3,1,20,-226.357438
CHENA,2022,3,1,20,88.370951
CHENA,2022,3,1,20,108.806507
CHENA,2022,3,1,20,136.691951
CHENA,2022,3,1,20,123.850063
CHENA,2022,3,1,21,-238.806604
CHENA,2022,3,1,21,89.177145
CHENA,2022,3,1,21,115.282729
CHENA,2022,3,1,21,148.352034
CHENA,2022,3,1,21,127.690369
CHENA,2022,3,1,22,-237.578966
CHENA,2022,3,1,22,89.248396
CHENA,2022,3,1,22,113.883146
CHENA,2022,3,1,22,144.919285
CHENA,2022,3,1,22,130.730285
CHENA,2022,3,1,23,-220.252521
CHENA,2022,3,1,23,116.577812
CHENA,2022,3,1,23,109.637062
CHENA,2022,3,1,23,141.29309
CHENA,2022,3,1,23,76.760063
CHENA,2022,3,2,0,-201.912633
CHENA,2022,3,2,0,98.566508
CHENA,2022,3,2,0,104.791229
CHENA,2022,3,2,0,142.913757
CHENA,2022,3,2,0,61.75773
CHENA,2022,3,2,1,-178.59141
CHENA,2022,3,2,1,48.889451
CHENA,2022,3,2,1,95.085118
CHENA,2022,3,2,1,135.918117
CHENA,2022,3,2,1,81.617647
CHENA,2022,3,2,2,-160.359994
CHENA,2022,3,2,2,41.84273
CHENA,2022,3,2,2,86.43784
CHENA,2022,3,2,2,123.824646
CHENA,2022,3,2,2,71.536284
CHENA,2022,3,2,3,-149.255605
CHENA,2022,3,2,3,38.108394
CHENA,2022,3,2,3,83.403562
CHENA,2022,3,2,3,115.19134
CHENA,2022,3,2,3,63.605393
CHENA,2022,3,2,4,-143.302521
CHENA,2022,3,2,4,34.933283
CHENA,2022,3,2,4,81.623534
CHENA,2022,3,2,4,110.803284
CHENA,2022,3,2,4,60.695089
CHENA,2022,3,2,5,-140.553132
CHENA,2022,3,2,5,33.79995
CHENA,2022,3,2,5,79.707895
CHENA,2022,3,2,5,107.875284
CHENA,2022,3,2,5,60.328285
CHENA,2022,3,2,6,-143.017605
CHENA,2022,3,2,6,36.801784
CHENA,2022,3,2,6,81.743034
CHENA,2022,3,2,6,106.274812
CHENA,2022,3,2,6,62.460172
CHENA,2022,3,2,7,-160.592299
CHENA,2022,3,2,7,48.807245
CHENA,2022,3,2,7,87.048046
CHENA,2022,3,2,7,111.224129
CHENA,2022,3,2,7,76.062357
CHENA,2022,3,2,8,-179.082938
CHENA,2022,3,2,8,60.655368
CHENA,2022,3,2,8,93.265923
CHENA,2022,3,2,8,119.441423
CHENA,2022,3,2,8,87.863729
CHENA,2022,3,2,9,-194.812883
CHENA,2022,3,2,9,72.413674
CHENA,2022,3,2,9,95.599229
CHENA,2022,3,2,9,121.191535
CHENA,2022,3,2,9,102.839618
CHENA,2022,3,2,10,-212.528717
CHENA,2022,3,2,10,84.709929
CHENA,2022,3,2,10,101.042211
CHENA,2022,3,2,10,125.665294
CHENA,2022,3,2,10,116.660569
CHENA,2022,3,2,11,-229.878438
CHENA,2022,3,2,11,127.634396
CHENA,2022,3,2,11,108.727674
CHENA,2022,3,2,11,133.598673
CHENA,2022,3,2,11,94.636951
CHENA,2022,3,2,12,-243.415688
CHENA,2022,3,2,12,139.019756
CHENA,2022,3,2,12,111.29834
CHENA,2022,3,2,12,136.023589
CHENA,2022,3,2,12,104.365202
CHENA,2022,3,2,13,-250.242577
CHENA,2022,3,2,13,152.48595
CHENA,2022,3,2,13,108.079257
CHENA,2022,3,2,13,132.463145
CHENA,2022,3,2,13,112.045423
CHENA,2022,3,2,14,-257.144605
CHENA,2022,3,2,14,116.300451
CHENA,2022,3,2,14,113.242757
CHENA,2022,3,2,14,133.77759
CHENA,2022,3,2,14,157.513894
CHENA,2022,3,2,15,-262.362049
CHENA,2022,3,2,15,115.66773
CHENA,2022,3,2,15,116.497868
CHENA,2022,3,2,15,139.141173
CHENA,2022,3,2,15,160.464448
CHENA,2022,3,2,16,-264.309521
CHENA,2022,3,2,16,111.680118
CHENA,2022,3,2,16,119.71234
CHENA,2022,3,2,16,143.308423
CHENA,2022,3,2,16,158.281701
CHENA,2022,3,2,17,-262.731354
CHENA,2022,3,2,17,111.564701
CHENA,2022,3,2,17,121.01859
CHENA,2022,3,2,17,143.109423
CHENA,2022,3,2,17,154.360285
CHENA,2022,3,2,18,-253.578854
CHENA,2022,3,2,18,105.602007
CHENA,2022,3,2,18,121.222979
CHENA,2022,3,2,18,139.782062
CHENA,2022,3,2,18,144.975617
CHENA,2022,3,2,19,-236.080105
CHENA,2022,3,2,19,93.023757
CHENA,2022,3,2,19,119.572396
CHENA,2022,3,2,19,138.644284
CHENA,2022,3,2,19,122.797896
CHENA,2022,3,2,20,-225.776354
CHENA,2022,3,2,20,76.927257
CHENA,2022,3,2,20,123.221951
CHENA,2022,3,2,20,145.000257
CHENA,2022,3,2,20,109.372923
