substation,year,month,day,hour,consumption
CNAVIA,2022,3,1,0,82.307622
CNAVIA,2022,3,1,0,-30.652672
CNAVIA,2022,3,1,0,62.59941
CNAVIA,2022,3,1,0,41.348477
CNAVIA,2022,3,1,0,44.452419
CNAVIA,2022,3,1,0,45.05894
CNAVIA,2022,3,1,0,59.411828
CNAVIA,2022,3,1,0,64.408772
CNAVIA,2022,3,1,0,69.740953
CNAVIA,2022,3,1,1,79.888825
CNAVIA,2022,3,1,1,49.582804
CNAVIA,2022,3,1,1,-27.178591
CNAVIA,2022,3,1,1,57.820302
CNAVIA,2022,3,1,1,40.207672
CNAVIA,2022,3,1,1,43.037576
CNAVIA,2022,3,1,1,36.519583
CNAVIA,2022,3,1,1,62.641167
CNAVIA,2022,3,1,1,57.62807
CNAVIA,2022,3,1,2,76.545366
CNAVIA,2022,3,1,2,-11.412396
CNAVIA,2022,3,1,2,8.029079
CNAVIA,2022,3,1,2,42.603379
CNAVIA,2022,3,1,2,45.262111
CNAVIA,2022,3,1,2,31.782175
CNAVIA,2022,3,1,2,57.991709
CNAVIA,2022,3,1,2,53.987336
CNAVIA,2022,3,1,2,42.732602
CNAVIA,2022,3,1,3,73.571063
CNAVIA,2022,3,1,3,-11.273171
CNAVIA,2022,3,1,3,7.802823
CNAVIA,2022,3,1,3,41.574012
CNAVIA,2022,3,1,3,44.942336
CNAVIA,2022,3,1,3,35.577903
CNAVIA,2022,3,1,3,54.929665
CNAVIA,2022,3,1,3,51.020302
CNAVIA,2022,3,1,3,25.826159
CNAVIA,2022,3,1,4,72.177585
CNAVIA,2022,3,1,4,7.023851
CNAVIA,2022,3,1,4,40.105619
CNAVIA,2022,3,1,4,43.835765
CNAVIA,2022,3,1,4,-11.734446
CNAVIA,2022,3,1,4,31.015203
CNAVIA,2022,3,1,4,21.246402
CNAVIA,2022,3,1,4,49.543296
CNAVIA,2022,3,1,4,53.390267
CNAVIA,2022,3,1,5,71.380268
CNAVIA,2022,3,1,5,-11.501132
CNAVIA,2022,3,1,5,6.630609
CNAVIA,2022,3,1,5,40.943686
CNAVIA,2022,3,1,5,44.36404
CNAVIA,2022,3,1,5,19.304966
CNAVIA,2022,3,1,5,28.369525
CNAVIA,2022,3,1,5,52.636471
CNAVIA,2022,3,1,5,48.768138
CNAVIA,2022,3,1,6,69.061194
CNAVIA,2022,3,1,6,-12.59856
CNAVIA,2022,3,1,6,40.056302
CNAVIA,2022,3,1,6,44.844678
CNAVIA,2022,3,1,6,20.809318
CNAVIA,2022,3,1,6,5.093618
CNAVIA,2022,3,1,6,55.40656
CNAVIA,2022,3,1,6,51.412833
CNAVIA,2022,3,1,6,29.839013
CNAVIA,2022,3,1,7,68.053902
CNAVIA,2022,3,1,7,3.968468
CNAVIA,2022,3,1,7,40.712074
CNAVIA,2022,3,1,7,46.847964
CNAVIA,2022,3,1,7,24.95847
