substation,year,month,day,hour,consumption
ELSALTO,2022,3,1,0,139.997282
ELSALTO,2022,3,1,0,135.219673
ELSALTO,2022,3,1,0,115.806257
ELSALTO,2022,3,1,0,86.670785
ELSALTO,2022,3,1,1,128.369399
ELSALTO,2022,3,1,1,123.996065
ELSALTO,2022,3,1,1,101.896979
ELSALTO,2022,3,1,1,76.523701
ELSALTO,2022,3,1,2,116.526065
ELSALTO,2022,3,1,2,112.552898
ELSALTO,2022,3,1,2,87.525535
ELSALTO,2022,3,1,2,64.061062
ELSALTO,2022,3,1,3,110.672537
ELSALTO,2022,3,1,3,106.786064
ELSALTO,2022,3,1,3,80.273535
ELSALTO,2022,3,1,3,57.819812
ELSALTO,2022,3,1,4,108.412259
ELSALTO,2022,3,1,4,104.477731
ELSALTO,2022,3,1,4,77.740868
ELSALTO,2022,3,1,4,55.716229
ELSALTO,2022,3,1,5,105.298842
ELSALTO,2022,3,1,5,101.603286
ELSALTO,2022,3,1,5,77.798812
ELSALTO,2022,3,1,5,55.984701
ELSALTO,2022,3,1,6,104.629397
ELSALTO,2022,3,1,6,100.772175
ELSALTO,2022,3,1,6,81.794646
ELSALTO,2022,3,1,6,59.402618
ELSALTO,2022,3,1,7,107.703286
ELSALTO,2022,3,1,7,103.89162
ELSALTO,2022,3,1,7,91.526201
ELSALTO,2022,3,1,7,67.368368
ELSALTO,2022,3,1,8,111.443065
ELSALTO,2022,3,1,8,107.567203
ELSALTO,2022,3,1,8,103.359618
ELSALTO,2022,3,1,8,74.822395
ELSALTO,2022,3,1,9,120.887176
ELSALTO,2022,3,1,9,116.603232
ELSALTO,2022,3,1,9,122.537867
ELSALTO,2022,3,1,9,88.74459
ELSALTO,2022,3,1,10,124.82051
ELSALTO,2022,3,1,10,120.637176
ELSALTO,2022,3,1,10,145.529618
ELSALTO,2022,3,1,10,107.543201
ELSALTO,2022,3,1,11,129.42162
ELSALTO,2022,3,1,11,124.992176
ELSALTO,2022,3,1,11,164.745034
ELSALTO,2022,3,1,11,122.737923
ELSALTO,2022,3,1,12,131.455398
ELSALTO,2022,3,1,12,126.582176
ELSALTO,2022,3,1,12,176.011118
ELSALTO,2022,3,1,12,130.990534
ELSALTO,2022,3,1,13,132.830732
ELSALTO,2022,3,1,13,128.14162
ELSALTO,2022,3,1,13,183.958034
ELSALTO,2022,3,1,13,136.987034
ELSALTO,2022,3,1,14,135.244784
ELSALTO,2022,3,1,14,130.002176
ELSALTO,2022,3,1,14,188.991562
ELSALTO,2022,3,1,14,140.855673
ELSALTO,2022,3,1,15,143.458837
ELSALTO,2022,3,1,15,138.026865
ELSALTO,2022,3,1,15,182.720395
ELSALTO,2022,3,1,15,134.921507
ELSALTO,2022,3,1,16,143.629948
ELSALTO,2022,3,1,16,137.863643
ELSALTO,2022,3,1,16,176.362396
ELSALTO,2022,3,1,16,128.785257
ELSALTO,2022,3,1,17,144.76717
ELSALTO,2022,3,1,17,139.083365
ELSALTO,2022,3,1,17,176.508784
ELSALTO,2022,3,1,17,129.653507
ELSALTO,2022,3,1,18,144.600589
ELSALTO,2022,3,1,18,138.861316
ELSALTO,2022,3,1,18,157.57025
ELSALTO,2022,3,1,18,113.325075
ELSALTO,2022,3,1,19,138.855226
ELSALTO,2022,3,1,19,133.402552
ELSALTO,2022,3,1,19,152.054042
ELSALTO,2022,3,1,19,111.783515
ELSALTO,2022,3,1,20,146.394393
ELSALTO,2022,3,1,20,140.660114
ELSALTO,2022,3,1,20,144.306089
ELSALTO,2022,3,1,20,108.776507
ELSALTO,2022,3,1,21,144.650503
ELSALTO,2022,3,1,21,139.108837
ELSALTO,2022,3,1,21,146.934673
ELSALTO,2022,3,1,21,111.101701
ELSALTO,2022,3,1,22,148.51217
ELSALTO,2022,3,1,22,143.046615
ELSALTO,2022,3,1,22,143.46634
ELSALTO,2022,3,1,22,107.566257
ELSALTO,2022,3,1,23,147.974948
ELSALTO,2022,3,1,23,142.629392
ELSALTO,2022,3,1,23,128.875285
ELSALTO,2022,3,1,23,96.049507
ELSALTO,2022,3,2,0,138.544476
ELSALTO,2022,3,2,0,143.295503
ELSALTO,2022,3,2,0,113.114645
ELSALTO,2022,3,2,0,83.459173
ELSALTO,2022,3,2,1,129.817452
ELSALTO,2022,3,2,1,125.633287
ELSALTO,2022,3,2,1,98.327562
ELSALTO,2022,3,2,1,72.778535
ELSALTO,2022,3,2,2,122.208843
ELSALTO,2022,3,2,2,118.258287
ELSALTO,2022,3,2,2,89.908673
ELSALTO,2022,3,2,2,66.443923
ELSALTO,2022,3,2,3,117.433843
ELSALTO,2022,3,2,3,113.249954
ELSALTO,2022,3,2,3,84.274952
ELSALTO,2022,3,2,3,61.993007
ELSALTO,2022,3,2,4,114.932732
ELSALTO,2022,3,2,4,111.195954
ELSALTO,2022,3,2,4,79.410007
ELSALTO,2022,3,2,4,57.443701
ELSALTO,2022,3,2,5,113.548843
ELSALTO,2022,3,2,5,109.816703
ELSALTO,2022,3,2,5,80.096924
ELSALTO,2022,3,2,5,58.152285
ELSALTO,2022,3,2,6,113.469398
ELSALTO,2022,3,2,6,109.573036
ELSALTO,2022,3,2,6,81.541562
ELSALTO,2022,3,2,6,59.163146
ELSALTO,2022,3,2,7,114.583843
ELSALTO,2022,3,2,7,110.560703
ELSALTO,2022,3,2,7,91.798734
ELSALTO,2022,3,2,7,67.071796
ELSALTO,2022,3,2,8,117.88051
ELSALTO,2022,3,2,8,114.009204
ELSALTO,2022,3,2,8,109.184979
ELSALTO,2022,3,2,8,78.458174
ELSALTO,2022,3,2,9,129.796397
ELSALTO,2022,3,2,9,125.482732
ELSALTO,2022,3,2,9,129.312812
ELSALTO,2022,3,2,9,95.354924
ELSALTO,2022,3,2,10,135.218205
ELSALTO,2022,3,2,10,130.684399
ELSALTO,2022,3,2,10,146.857561
ELSALTO,2022,3,2,10,107.585751
ELSALTO,2022,3,2,11,131.441621
ELSALTO,2022,3,2,11,136.084837
ELSALTO,2022,3,2,11,158.679423
ELSALTO,2022,3,2,11,115.82009
ELSALTO,2022,3,2,12,137.178281
ELSALTO,2022,3,2,12,132.456482
ELSALTO,2022,3,2,12,168.18684
ELSALTO,2022,3,2,12,123.057812
ELSALTO,2022,3,2,13,138.327698
ELSALTO,2022,3,2,13,133.201953
ELSALTO,2022,3,2,13,181.689007
ELSALTO,2022,3,2,13,134.21784
ELSALTO,2022,3,2,14,140.343837
ELSALTO,2022,3,2,14,134.888423
ELSALTO,2022,3,2,14,186.786312
ELSALTO,2022,3,2,14,138.47284
ELSALTO,2022,3,2,15,146.718837
ELSALTO,2022,3,2,15,140.736059
ELSALTO,2022,3,2,15,180.725312
ELSALTO,2022,3,2,15,132.714757
ELSALTO,2022,3,2,16,157.862117
ELSALTO,2022,3,2,16,151.848281
ELSALTO,2022,3,2,16,180.526673
ELSALTO,2022,3,2,16,133.109284
ELSALTO,2022,3,2,17,158.741093
ELSALTO,2022,3,2,17,152.704948
ELSALTO,2022,3,2,17,175.706645
ELSALTO,2022,3,2,17,128.645006
ELSALTO,2022,3,2,18,154.474059
ELSALTO,2022,3,2,18,148.428281
ELSALTO,2022,3,2,18,168.903729
ELSALTO,2022,3,2,18,123.717979
ELSALTO,2022,3,2,19,150.795503
ELSALTO,2022,3,2,19,145.063281
ELSALTO,2022,3,2,19,152.041951
ELSALTO,2022,3,2,19,111.055285
ELSALTO,2022,3,2,20,158.831455
ELSALTO,2022,3,2,20,153.121615
ELSALTO,2022,3,2,20,139.283284
ELSALTO,2022,3,2,20,103.279562
ELSALTO,2022,3,2,21,158.947789
ELSALTO,2022,3,2,21,153.409392
ELSALTO,2022,3,2,21,131.435257
ELSALTO,2022,3,2,21,95.757673
ELSALTO,2022,3,2,22,156.631561
ELSALTO,2022,3,2,22,150.757725
ELSALTO,2022,3,2,22,137.545479
ELSALTO,2022,3,2,22,101.264035
ELSALTO,2022,3,2,23,153.294948
ELSALTO,2022,3,2,23,147.65717
ELSALTO,2022,3,2,23,128.067146
ELSALTO,2022,3,2,23,95.027868
ELSALTO,2022,3,3,0,148.777726
ELSALTO,2022,3,3,0,143.699392
ELSALTO,2022,3,3,0,112.428312
ELSALTO,2022,3,3,0,82.454562
ELSALTO,2022,3,3,1,132.518896
ELSALTO,2022,3,3,1,137.328367
ELSALTO,2022,3,3,1,91.988868
ELSALTO,2022,3,3,1,65.791396
ELSALTO,2022,3,3,2,129.755509
ELSALTO,2022,3,3,2,125.484954
ELSALTO,2022,3,3,2,81.102951
ELSALTO,2022,3,3,2,57.878784
ELSALTO,2022,3,3,3,128.013843
ELSALTO,2022,3,3,3,123.841065
ELSALTO,2022,3,3,3,79.919451
ELSALTO,2022,3,3,3,57.621063
ELSALTO,2022,3,3,4,126.078843
ELSALTO,2022,3,3,4,121.873288
ELSALTO,2022,3,3,4,78.158007
ELSALTO,2022,3,3,4,56.439118
ELSALTO,2022,3,3,5,121.167732
ELSALTO,2022,3,3,5,125.126621
ELSALTO,2022,3,3,5,80.047146
ELSALTO,2022,3,3,5,58.207673
ELSALTO,2022,3,3,6,125.143287
ELSALTO,2022,3,3,6,120.793287
ELSALTO,2022,3,3,6,83.063451
ELSALTO,2022,3,3,6,60.718146
ELSALTO,2022,3,3,7,127.063843
ELSALTO,2022,3,3,7,122.901621
ELSALTO,2022,3,3,7,92.241895
ELSALTO,2022,3,3,7,67.329562
ELSALTO,2022,3,3,8,129.676065
ELSALTO,2022,3,3,8,125.162732
ELSALTO,2022,3,3,8,111.968951
ELSALTO,2022,3,3,8,80.702562
ELSALTO,2022,3,3,9,141.402838
ELSALTO,2022,3,3,9,136.516534
ELSALTO,2022,3,3,9,131.433646
ELSALTO,2022,3,3,9,96.576201
ELSALTO,2022,3,3,10,148.153837
ELSALTO,2022,3,3,10,153.618309
ELSALTO,2022,3,3,10,165.637202
ELSALTO,2022,3,3,10,127.338007
ELSALTO,2022,3,3,11,133.70823
ELSALTO,2022,3,3,11,138.959948
ELSALTO,2022,3,3,11,167.775756
ELSALTO,2022,3,3,11,125.740812
ELSALTO,2022,3,3,12,133.959536
ELSALTO,2022,3,3,12,128.464371
ELSALTO,2022,3,3,12,165.507007
ELSALTO,2022,3,3,12,119.594951
ELSALTO,2022,3,3,13,122.323843
ELSALTO,2022,3,3,13,116.574399
ELSALTO,2022,3,3,13,165.23909
ELSALTO,2022,3,3,13,117.212174
ELSALTO,2022,3,3,14,122.104954
ELSALTO,2022,3,3,14,116.030509
ELSALTO,2022,3,3,14,171.888451
ELSALTO,2022,3,3,14,123.618729
ELSALTO,2022,3,3,15,132.152981
ELSALTO,2022,3,3,15,125.805509
ELSALTO,2022,3,3,15,176.102423
ELSALTO,2022,3,3,15,128.504396
ELSALTO,2022,3,3,16,139.851727
ELSALTO,2022,3,3,16,133.211589
ELSALTO,2022,3,3,16,180.881202
ELSALTO,2022,3,3,16,133.909617
ELSALTO,2022,3,3,17,127.931065
ELSALTO,2022,3,3,17,121.372176
ELSALTO,2022,3,3,17,177.208506
ELSALTO,2022,3,3,17,131.463729
ELSALTO,2022,3,3,18,126.974399
ELSALTO,2022,3,3,18,120.641065
ELSALTO,2022,3,3,18,178.364534
ELSALTO,2022,3,3,18,134.208562
ELSALTO,2022,3,3,19,130.862732
ELSALTO,2022,3,3,19,124.802732
ELSALTO,2022,3,3,19,169.663895
ELSALTO,2022,3,3,19,129.213118
ELSALTO,2022,3,3,20,136.949782
ELSALTO,2022,3,3,20,130.643619
ELSALTO,2022,3,3,20,153.126062
ELSALTO,2022,3,3,20,117.314424
ELSALTO,2022,3,3,21,146.185503
ELSALTO,2022,3,3,21,139.870504
ELSALTO,2022,3,3,21,152.152312
ELSALTO,2022,3,3,21,115.914535
ELSALTO,2022,3,3,22,139.23717
ELSALTO,2022,3,3,22,145.445504
ELSALTO,2022,3,3,22,144.573756
ELSALTO,2022,3,3,22,108.721785
ELSALTO,2022,3,3,23,142.283837
ELSALTO,2022,3,3,23,136.498281
ELSALTO,2022,3,3,23,130.621118
ELSALTO,2022,3,3,23,98.326396
ELSALTO,2022,3,4,0,137.617531
ELSALTO,2022,3,4,0,132.336453
ELSALTO,2022,3,4,0,113.637729
ELSALTO,2022,3,4,0,87.30184
ELSALTO,2022,3,4,1,130.96001
ELSALTO,2022,3,4,1,126.056065
ELSALTO,2022,3,4,1,94.675757
ELSALTO,2022,3,4,1,70.949479
ELSALTO,2022,3,4,2,123.319954
ELSALTO,2022,3,4,2,118.84051
ELSALTO,2022,3,4,2,87.337951
ELSALTO,2022,3,4,2,65.394534
ELSALTO,2022,3,4,3,119.698287
ELSALTO,2022,3,4,3,115.128287
ELSALTO,2022,3,4,3,84.578785
ELSALTO,2022,3,4,3,63.447951
ELSALTO,2022,3,4,4,118.989399
ELSALTO,2022,3,4,4,114.539399
ELSALTO,2022,3,4,4,82.212645
ELSALTO,2022,3,4,4,61.379423
ELSALTO,2022,3,4,5,119.044398
ELSALTO,2022,3,4,5,114.682732
ELSALTO,2022,3,4,5,81.09134
ELSALTO,2022,3,4,5,60.090729
ELSALTO,2022,3,4,6,118.117176
ELSALTO,2022,3,4,6,114.02551
ELSALTO,2022,3,4,6,84.310646
ELSALTO,2022,3,4,6,63.27909
ELSALTO,2022,3,4,7,117.876065
ELSALTO,2022,3,4,7,113.776621
ELSALTO,2022,3,4,7,95.092868
ELSALTO,2022,3,4,7,70.160868
ELSALTO,2022,3,4,8,121.322176
ELSALTO,2022,3,4,8,117.023287
ELSALTO,2022,3,4,8,109.950535
ELSALTO,2022,3,4,8,79.122729
ELSALTO,2022,3,4,9,126.752176
ELSALTO,2022,3,4,9,131.262425
ELSALTO,2022,3,4,9,126.971812
ELSALTO,2022,3,4,9,91.750506
ELSALTO,2022,3,4,10,139.785503
ELSALTO,2022,3,4,10,134.764118
ELSALTO,2022,3,4,10,149.472839
ELSALTO,2022,3,4,10,110.936924
ELSALTO,2022,3,4,11,143.533281
ELSALTO,2022,3,4,11,138.736948
ELSALTO,2022,3,4,11,165.788868
ELSALTO,2022,3,4,11,122.541035
ELSALTO,2022,3,4,12,143.370504
ELSALTO,2022,3,4,12,138.14681
ELSALTO,2022,3,4,12,176.195979
ELSALTO,2022,3,4,12,130.511368
ELSALTO,2022,3,4,13,144.171615
ELSALTO,2022,3,4,13,139.061059
ELSALTO,2022,3,4,13,183.174034
ELSALTO,2022,3,4,13,135.393173
ELSALTO,2022,3,4,14,146.401615
ELSALTO,2022,3,4,14,140.83717
ELSALTO,2022,3,4,14,189.236923
ELSALTO,2022,3,4,14,140.450451
ELSALTO,2022,3,4,15,148.571615
ELSALTO,2022,3,4,15,142.857726
ELSALTO,2022,3,4,15,185.184785
ELSALTO,2022,3,4,15,137.253229
ELSALTO,2022,3,4,16,150.169948
ELSALTO,2022,3,4,16,144.41717
ELSALTO,2022,3,4,16,170.343923
ELSALTO,2022,3,4,16,123.352924
ELSALTO,2022,3,4,17,147.693837
ELSALTO,2022,3,4,17,141.69717
ELSALTO,2022,3,4,17,167.293757
ELSALTO,2022,3,4,17,121.465895
ELSALTO,2022,3,4,18,146.649948
ELSALTO,2022,3,4,18,140.789392
ELSALTO,2022,3,4,18,160.671701
ELSALTO,2022,3,4,18,117.702035
ELSALTO,2022,3,4,19,143.744392
ELSALTO,2022,3,4,19,137.954393
ELSALTO,2022,3,4,19,151.026229
ELSALTO,2022,3,4,19,111.956146
ELSALTO,2022,3,4,20,145.42852
ELSALTO,2022,3,4,20,139.848678
ELSALTO,2022,3,4,20,136.470245
ELSALTO,2022,3,4,20,102.624152
ELSALTO,2022,3,4,21,139.659948
ELSALTO,2022,3,4,21,145.249948
