substation,year,month,day,hour,consumption
FLORIDA,2022,3,1,0,72.970395
FLORIDA,2022,3,1,0,71.869944
FLORIDA,2022,3,1,0,-9.725528
FLORIDA,2022,3,1,0,-21.957268
FLORIDA,2022,3,1,0,-30.405746
FLORIDA,2022,3,1,0,-15.167357
FLORIDA,2022,3,1,0,-4.496455
FLORIDA,2022,3,1,0,-2.121571
FLORIDA,2022,3,1,1,69.642784
FLORIDA,2022,3,1,1,66.449136
FLORIDA,2022,3,1,1,-2.957912
FLORIDA,2022,3,1,1,-15.428914
FLORIDA,2022,3,1,1,-29.787693
FLORIDA,2022,3,1,1,-16.935152
FLORIDA,2022,3,1,1,-5.29879
FLORIDA,2022,3,1,1,-1.34593
FLORIDA,2022,3,1,2,64.691928
FLORIDA,2022,3,1,2,-3.052727
FLORIDA,2022,3,1,2,68.558588
FLORIDA,2022,3,1,2,0.768729
FLORIDA,2022,3,1,2,-10.531269
FLORIDA,2022,3,1,2,-29.557575
FLORIDA,2022,3,1,2,-17.370778
FLORIDA,2022,3,1,2,-5.996174
FLORIDA,2022,3,1,3,63.698227
FLORIDA,2022,3,1,3,-5.140584
FLORIDA,2022,3,1,3,67.897879
FLORIDA,2022,3,1,3,3.927697
FLORIDA,2022,3,1,3,-6.44119
FLORIDA,2022,3,1,3,-29.616432
FLORIDA,2022,3,1,3,-17.748263
FLORIDA,2022,3,1,3,-8.045641
FLORIDA,2022,3,1,4,62.070489
FLORIDA,2022,3,1,4,-6.772966
FLORIDA,2022,3,1,4,66.369926
FLORIDA,2022,3,1,4,-18.261755
FLORIDA,2022,3,1,4,-28.855536
FLORIDA,2022,3,1,4,-4.892035
FLORIDA,2022,3,1,4,-8.547168
FLORIDA,2022,3,1,4,5.098244
FLORIDA,2022,3,1,5,59.953921
FLORIDA,2022,3,1,5,-8.960998
FLORIDA,2022,3,1,5,63.971256
FLORIDA,2022,3,1,5,5.776835
FLORIDA,2022,3,1,5,-4.001287
FLORIDA,2022,3,1,5,-27.040343
FLORIDA,2022,3,1,5,-16.508251
FLORIDA,2022,3,1,5,-10.557204
FLORIDA,2022,3,1,6,59.455758
FLORIDA,2022,3,1,6,-10.241465
FLORIDA,2022,3,1,6,62.118515
FLORIDA,2022,3,1,6,3.723961
FLORIDA,2022,3,1,6,-5.479521
FLORIDA,2022,3,1,6,-24.476528
FLORIDA,2022,3,1,6,-13.660736
FLORIDA,2022,3,1,6,-11.616811
FLORIDA,2022,3,1,7,63.846341
FLORIDA,2022,3,1,7,63.850182
FLORIDA,2022,3,1,7,-13.14216
FLORIDA,2022,3,1,7,-12.927804
FLORIDA,2022,3,1,7,-24.013135
FLORIDA,2022,3,1,7,-13.935879
FLORIDA,2022,3,1,7,1.746934
FLORIDA,2022,3,1,7,-7.544288
FLORIDA,2022,3,1,8,67.233524
FLORIDA,2022,3,1,8,-20.244938
FLORIDA,2022,3,1,8,67.579579
FLORIDA,2022,3,1,8,3.753149
FLORIDA,2022,3,1,8,-5.424507
FLORIDA,2022,3,1,8,-24.088333
FLORIDA,2022,3,1,8,-13.272345
FLORIDA,2022,3,1,8,-18.478222
FLORIDA,2022,3,1,9,70.022434
FLORIDA,2022,3,1,9,-22.023763
FLORIDA,2022,3,1,9,72.639509
FLORIDA,2022,3,1,9,3.229704
FLORIDA,2022,3,1,9,-6.297481
FLORIDA,2022,3,1,9,-25.095655
FLORIDA,2022,3,1,9,-13.83229
FLORIDA,2022,3,1,9,-22.08507
FLORIDA,2022,3,1,10,65.848694
FLORIDA,2022,3,1,10,-22.152888
FLORIDA,2022,3,1,10,70.685703
FLORIDA,2022,3,1,10,-11.614515
FLORIDA,2022,3,1,10,-23.833703
FLORIDA,2022,3,1,10,-8.375703
FLORIDA,2022,3,1,10,-24.719138
FLORIDA,2022,3,1,10,2.146832
FLORIDA,2022,3,1,11,63.325283
FLORIDA,2022,3,1,11,-21.560669
FLORIDA,2022,3,1,11,69.485381
FLORIDA,2022,3,1,11,-1.129347
FLORIDA,2022,3,1,11,-13.105593
FLORIDA,2022,3,1,11,-22.067958
FLORIDA,2022,3,1,11,-9.221766
FLORIDA,2022,3,1,11,-25.232253
FLORIDA,2022,3,1,12,62.565918
FLORIDA,2022,3,1,12,-21.553204
FLORIDA,2022,3,1,12,69.087957
FLORIDA,2022,3,1,12,-1.527465
FLORIDA,2022,3,1,12,-13.964569
FLORIDA,2022,3,1,12,-22.295797
FLORIDA,2022,3,1,12,-8.518652
