substation,year,month,day,hour,consumption
LOSALME,2022,3,1,0,27.799431
LOSALME,2022,3,1,0,55.301902
LOSALME,2022,3,1,0,68.987137
LOSALME,2022,3,1,0,-5.615336
LOSALME,2022,3,1,1,-2.299791
LOSALME,2022,3,1,1,58.483721
LOSALME,2022,3,1,1,27.416287
LOSALME,2022,3,1,1,44.523808
LOSALME,2022,3,1,2,32.770113
LOSALME,2022,3,1,2,36.220751
LOSALME,2022,3,1,2,48.857044
LOSALME,2022,3,1,2,4.855462
LOSALME,2022,3,1,3,41.798603
LOSALME,2022,3,1,3,30.17577
LOSALME,2022,3,1,3,8.192817
LOSALME,2022,3,1,3,34.95833
LOSALME,2022,3,1,4,38.746798
LOSALME,2022,3,1,4,27.766814
LOSALME,2022,3,1,4,8.829708
LOSALME,2022,3,1,4,34.835834
LOSALME,2022,3,1,5,7.79981
LOSALME,2022,3,1,5,33.837935
LOSALME,2022,3,1,5,26.330886
LOSALME,2022,3,1,5,37.048498
LOSALME,2022,3,1,6,5.070048
LOSALME,2022,3,1,6,38.206068
LOSALME,2022,3,1,6,28.053895
LOSALME,2022,3,1,6,32.119679
LOSALME,2022,3,1,7,34.307733
LOSALME,2022,3,1,7,32.506827
LOSALME,2022,3,1,7,42.307432
LOSALME,2022,3,1,7,4.238069
LOSALME,2022,3,1,8,10.137768
LOSALME,2022,3,1,8,47.731409
LOSALME,2022,3,1,8,33.865833
LOSALME,2022,3,1,8,43.797527
LOSALME,2022,3,1,9,47.482121
LOSALME,2022,3,1,9,36.60077
LOSALME,2022,3,1,9,10.505645
LOSALME,2022,3,1,9,54.761236
LOSALME,2022,3,1,10,54.308918
LOSALME,2022,3,1,10,42.193401
LOSALME,2022,3,1,10,5.260611
LOSALME,2022,3,1,10,54.749354
LOSALME,2022,3,1,11,-0.947427
LOSALME,2022,3,1,11,53.042655
LOSALME,2022,3,1,11,50.312438
LOSALME,2022,3,1,11,64.352625
LOSALME,2022,3,1,12,-3.689949
LOSALME,2022,3,1,12,68.438918
LOSALME,2022,3,1,12,54.331184
LOSALME,2022,3,1,12,53.808259
LOSALME,2022,3,1,13,56.475389
LOSALME,2022,3,1,13,57.12387
LOSALME,2022,3,1,13,71.889394
LOSALME,2022,3,1,13,-3.923546
LOSALME,2022,3,1,14,-3.515207
LOSALME,2022,3,1,14,76.769678
LOSALME,2022,3,1,14,60.890659
LOSALME,2022,3,1,14,58.583234
LOSALME,2022,3,1,15,80.37429
LOSALME,2022,3,1,15,63.787578
LOSALME,2022,3,1,15,3.054067
LOSALME,2022,3,1,15,64.434495
